Ticker,Security,Start Date,End Date,Period,Period 2,Currency,DATE 1,Best Div Yld,Best_EV,CUR_MKT_CAP,YEARLY DATA,NET_DEBT,BEST_EPS,BEST_EBITDA
CINF,CINF US Equity,44631,44631,D,Q,USD,44631,2.146,#N/A N/A,19523.1853,44561,-242,1.342,#N/A N/A
CTAS,CTAS US Equity,44631,44631,D,Q,USD,44631,1.021,40698.773,38308.4403,44561,2508.752,2.432,459.571
CSCO,CSCO US Equity,44631,44631,D,Q,USD,44631,2.774,214974.448,227191.4479,44561,-8503,0.869,4964
C,C US Equity,44631,44631,D,Q,USD,44631,3.746,#N/A N/A,107285.2522,44561,54870,2.177,#N/A N/A
CFG,CFG US Equity,44631,44631,D,Q,USD,44631,3.449,#N/A N/A,19790.0528,44561,-1668,0.962,#N/A N/A
CTXS,CTXS US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,12682.9508,44561,3022.168,1.19,205
CLX,CLX US Equity,44631,44631,D,Q,USD,44631,3.662,18976.1,16017.2107,44561,3036,1.557,332
CME,CME US Equity,44631,44631,D,Q,USD,44631,3.23,82644.509,81209.5095,44561,1075.7,1.816,848
CMS,CMS US Equity,44631,44631,D,Q,USD,44631,2.808,#N/A N/A,19112.5871,44561,12024,1.069,810.333
KO,KO US Equity,44631,44631,D,Q,USD,44631,2.996,284593.049,251082.9058,44561,31607,0.593,3426.5
CTSH,CTSH US Equity,44631,44631,D,Q,USD,44631,1.168,44496.046,46180.0463,44561,-1064,1.059,889.7
CL,CL US Equity,44631,44631,D,Q,USD,44631,2.642,68494.075,62002.7424,44561,6967,0.822,1143.4
CMCSA,CMCSA US Equity,44631,44631,D,Q,USD,44631,2.403,293442.644,204086.0292,44561,98548,0.901,9427.417
CMA,CMA US Equity,44631,44631,D,Q,USD,44631,3.122,#N/A N/A,11540.1725,44561,-20080,1.408,#N/A N/A
CAG,CAG US Equity,44631,44631,D,Q,USD,44631,4.203,23499.302,14438.9017,44561,9315.5,0.641,565.143
COP,COP US Equity,44631,44631,D,Q,USD,44631,2.007,139438.244,127886.4438,44561,15127,2.09,6599.5
ED,ED US Equity,44631,44631,D,Q,USD,44631,3.582,55776.437,31634.4365,44561,24218,1.496,1405.5
STZ,STZ US Equity,44631,44631,D,Q,USD,44631,1.528,50873.845,40413.7455,44561,9971.2,2.349,725.167
COO,COO US Equity,44631,44631,D,Q,USD,44631,#N/A N/A,#N/A N/A,18732.6169,44561,3255.5,3.451,280.25
